key,翻译文本（简体中文）,翻译文本（英语）,译文（繁体中文）,译文（阿拉伯语）,译文（德语）,译文（西语）,译文（法语）,译文（印尼语）,译文（意大利语）,译文（日语）,译文（韩语）,译文（马来语）,译文（波兰语）,译文（葡萄牙语）,译文（俄语）,译文（泰语）,译文（土耳其语）,译文（越南语）,译文（印地语）,译文（菲律宾语）
buildSimulator,天赋模拟器,Build Simulator,天賦模擬器,محاكي البناء,Bausimulator,Simulador de construcción,Simulateur de construction,Simulator Pembangunan,Simulatore costruzione,天賦エミュレーター,특성 시뮬레이터,Simulator Binaan,Symulator konfiguracji,Simulador de Build,Симулятор строительства,สร้างระบบจำลอง,İnşaat Simülatörü,Trình Mô Phỏng Tài Năng,निर्माण सिम्युलेटर,Build Simulator
kingdomLaunchSchedule,开服时间表,Kingdom Launch Schedule,開服時間表,جدول إطلاق المملكة,Königreich-Startzeitplan,Cronograma de apertura del reino,Planning de lancement (royaume),Jadwal Peluncuran Kerajaan,Programma lancio regno,サーバー解放スケジュール,서버 오픈 일정표,Jadual Pelancaran Kerajaan,Harmonogram powstania królestwa,Programação de Lançamento do Reino,Расписание запуска королевств,ตารางเวลาเปิดของอาณาจักร,Krallık Açılış Takvimi,Lịch Khởi Động Vương Quốc,किंगडम लॉन्च शेड्यूल,Iskedyul ng Launch ng Kingdom
troopTrainingCosts,部队训练消耗,Troop Training Costs,部隊訓練消耗,تكاليف تدريب القوات,Truppenausbildungskosten,Costo de entrenamiento de tropas,Coûts d'entraînement des troupes,Biaya Latihan Pasukan,Costi addestramento truppe,部隊訓練消費,부대 훈련 자원 소비,Kos Latihan Trup,Koszt szkolenia jednostek,Custo de Treino de Tropas,Стоимость обучения войск,ค่าฝึกฝนกองทัพ,Birlik Eğitim Bedeli,Chi Phí Huấn Luyện Quân,ट्रूप प्रशिक्षण लागत,Halaga ng Pagsasanay ng Troop
open,开始使用,Open,開始使用,فتح,Öffnen,Abrir,Ouvrir,Buka,Apri,使用開始,사용 시작,Buka,Włącz,Abrir,Открыть,เปิด,Aç,Mở,खोलें,Buksan
switchRole,切换绑定角色,Switch Character,切換綁定角色,تبديل الشخصية,Charakter wechseln,Cambiar personaje,Changer de personnage,Ganti Karakter,Personaggio aggiuntivo,連携キャラクター切替,연동 캐릭터 전환,Tukar Watak,Zmień postać,Alternar personagem,Сменить персонажа,เปลี่ยนตัวละคร,Karakter Değiştir,Chuyển Nhân Vật,कैरेक्टर स्विच करें,Magpalit ng Character
linkOtherRole,想要绑定其他角色？,Want to link a different character?,想要綁定其他角色？,هل تريد ربط شخصية مختلفة؟,Einen anderen Charakter verknüpfen?,¿Quieres vincular a otro personaje?,Voulez-vous lier un personnage différent ?,Ingin menautkan karakter lain?,Vuoi collegare un personaggio diverso?,連携キャラクターを変えますか？,다른 캐릭터와 연동하시겠습니까?,Ingin memautkan watak lain?,Chcesz połączyć inną postać?,Deseja vincular um personagem diferente?,Хотите привязать другого персонажа?,ต้องการผูกกับตัวละครอื่นหรือไม่,Farklı bir karakter bağlamak ister misin?,Bạn muốn liên kết một nhân vật khác?,अलग कैरेक्टर जोड़ना चाहते हैं?,Gusto mo bang mag-link ng ibang character?
bind,去绑定,Bind,去綁定,ربط,Verknüpfen,Vincular,Associer,Tautkan,Collega,連携へ,연동하기,Ikat,Powiąż,Vincular,Привязать,ผูก,Bağla,Liên kết,बाइंड करें,I-bind
cancel,取消,Cancel,取消,إلغاء,Abbrechen,Cancelar,Annuler,Batalkan,Annulla,キャンセル,취소,Batal,Anuluj,Cancelar,Отмена,ยกเลิก,Vazgeç,Hủy,रद्द करें,Kanselahin
confirm,确定,Confirm,確定,تأكيد,Bestätigen,Confirmar,Confirmer,Konfirmasi,Conferma,OK,확인,Sahkan,Potwierdź,Confirmar,Подтвердить,ยืนยัน,Onayla,Xác nhận,पुष्टि करें,Kumpirmahin
severErr,抱歉，服务器出错了,Server error.,抱歉，伺服器出錯了,خطأ بالخادم.,Serverfehler.,Error del servidor.,Erreur de serveur.,Kesalahan server.,Errore del server.,サーバーエラーが発生しました,죄송합니다. 서버에 오류가 발생하였습니다.,Ralat pelayan.,Błąd serwera.,Erro no servidor.,Ошибка сервера.,ข้อผิดพลาดของเซิร์ฟเวอร์,Sunucu hatası.,Lỗi máy chủ.,सर्वर त्रुटि।,Error sa server.
networkErr,网络状态异常，请检查网络设置,Network error. Please check your network settings.,網路狀態異常，請檢查網設定,خطأ في الشبكة. يرجى التحقق من إعدادات الشبكة.,Netzwerkfehler. Bitte überprüfe deine Netzwerkeinstellungen.,Error de red. Revisa tu configuración de red.,Erreur réseau. Veuillez vérifier vos paramètres réseau.,Kesalahan jaringan. Periksa pengaturan jaringan.,"Errore di rete, controlla le tue impostazioni di rete.",ネットワークエラー。設定を確認してください,"네트워크 오류, 네트워크 설정을 확인하세요!",Ralat rangkaian. Sila semak tetapan rangkaian anda.,Wystąpił błąd połączenia. Sprawdź ustawienia sieci.,Erro de rede. Verifique suas configurações de rede.,"Ошибка подключения, проверьте настройки сети.",พบข้อผิดพลาดเครือข่าย โปรดตรวจสอบการตั้งค่าเครือข่ายของคุณ,Ağ hatası. Lütfen ağ ayarlarını kontrol et.,"Lỗi mạng, vui lòng kiểm tra cài đặt mạng.",नेटवर्क त्रुटि। कृपया अपनी नेटवर्क सेटिंग्स देखें।,May network error. Pakisuri ang mga setting ng network mo.
kingdomInfoPage,王国信息页,Kingdom Info,王國資訊頁,حول المملكة,Königreichinfo,Info. del reino,Infos du royaume,Info Kerajaan,Info regno,王国情報ページ,왕국 정보 페이지,Maklumat Kerajaan,Informacje o królestwie,Informações do Reino,Информация о королевстве,ข้อมูลอาณาจักร,Krallık Bilgisi,Thông Tin Vương Quốc,किंगडम की जानकारी,Kingdom Info
kingdomlaunchtime,开服时间,Kingdom Launch Time,開伺服器時間,وقت إطلاق المملكة,Königreich-Startzeit,Horario de apertura del reino,Horaires de lancement (royaume),Waktu Peluncuran Kerajaan,Tempi lancio regno,サーバー解放時間,서버 오픈 시간,Masa Pelancaran Kerajaan,Czas powstania królestwa,Data de Lançamento do Reino,Время запуска королевства,เวลาเปิดของอาณาจักร,Krallık Açılış Zamanı,Thời Gian Khởi Động Vương Quốc,किंगडम लॉन्च समय,Kingdom Launch Time
server,服,Server,服,الخادم,Server,Servidor,Serveur,Server,Server,サーバー,서버,Pelayan,Serwer,Servidor,Сервер,เซิร์ฟเวอร์,Sunucu,Máy chủ,सर्वर,Server
Kpower,王国战力,Power,王國戰力,قوة,Energie,Poder,Puissance,Power,Potere,王国戦力,왕국 전투력,Kuasa,Siła,Poder,Мощь,พลัง,Güç,Sức mạnh,पॉवर,Power
development,王国养成,Development,王國養成,التطوير,Entwicklung,Desarrollo,Développement,Pengembangan,Sviluppo,王国育成,왕국 육성,Pembangunan,Rozwój,Desenvolvimento,Развитие,การพัฒนา,Gelişim,Phát triển,विकास,Development
technology,王国科技,Tech,王國科技,تقني,Tech,Tecnología,Technologie,Teknologi,Tecnologia,王国技術,왕국 기술,Teknologi,Technologia,Tecnologia,Технологии,เทค,Teknoloji,Kỹ thuật,टेक,Tech
military,阵地战争,Garrison Battles,陣地戰爭,معارك الحامية,Garnisonsschlachten,Batallas de la guarnición,Batailles de garnison,Pertempuran Garnisun,Battaglie guarnigione,陣地戦,진지 전쟁,Pertempuran Garison,Bitwy garnizonu,Batalhas de guarnição,Битвы в гарнизоне,ศึกกองทหารประจำการ,Garnizon Savaşları,Trận Đấu Đồn Trú,गैरीसन बैटल्स,Garrison Battles
activity,王国活跃,Activity,王國活躍,النشاط,Aktivität,Actividad,Activité,Aktivitas,Attività,王国活躍,왕국 활약도,Aktiviti,Aktywność,Atividade,Активность,กิจกรรม,Aktivite,Hoạt động,गतिविधि,Aktibidad
battles,野外战争,Field Battles,野外戰爭,معارك ميدانية,Feldschlachten,Batallas de campo,Batailles de terrain,Pertempuran di Lapangan,Battaglie sul campo,野外戦,야외 전쟁,Pertempuran Lapangan,Bitwy polowe,Batalhas de campo,Битвы в поле,การต่อสู้ในสนามรบ,Saha Savaşları,Trận Đấu Ngoài Đồng,फील्ड बैटल्स,Field Battles
s,S,S,S,ث,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
a,A,A,A,أ,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
b,B,B,B,ب,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
c,C,C,C,ج,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
searckKeyKingdom,搜索王国ID/王国名称,Search by kingdom name or ID,搜尋王國ID/王國名稱,البحث حسب اسم المملكة أو الرقم التعريفي,Anhand Königreichname oder ID suchen,Buscar por nombre o ID del reino,Rechercher par nom de royaume ou ID,Cari dengan nama kerajaan atau ID,Cerca con nome o ID regno,王国ID/王国名で検索,왕국 ID/왕국 명칭 검색,Cari mengikut nama kerajaan atau ID,Szukaj wg nazwy lub identyfikatora królestwa,Buscar por nome ou ID do reino,Поиск по названию или ID королевства,ค้นหาตามชื่อหรือ ID อาณาจักร,Krallık adı veya kimliğiyle ara,Tìm tên hoặc ID vương quốc,किंगडम नाम या ID द्वारा खोजें,Maghanap ayon sa pangalan o ID ng kingdom
noRes,暂无搜索结果 请更换搜索词,No results found. Try a different search term.,暫無搜尋結果 請更換搜尋詞,لم يتم العثور على نتائج. جرب مصطلح بحث آخر.,Keine Ergebnisse. Wähle einen anderen Suchbegriff.,No se encontraron resultados. Intenta con otra palabra.,Aucun résultat trouvé. Réessayer avec un terme différent.,Tidak ada hasil. Coba cari kata kunci lain.,Nessun risultato trovato. Prova un termine di ricerca diverso.,検索結果がありません。キーワードを変えて検索してください,검색 결과가 없습니다. 검색어를 변경하세요.,Tiada hasil carian ditemukan. Cuba istilah carian yang berbeza.,Brak wyników. Spróbuj użyć innego słowa kluczowego.,Nenhum resultado encontrado. Tente um termo diferente.,Нет результатов. Попробуйте другой запрос.,ไม่พบผลลัพธ์ ลองคำค้นหาอื่น,Sonuç bulunamadı. Lütfen farklı bir arama terimi dene.,"Không tìm thấy kết quả, hãy thử một cụm từ tìm kiếm khác.",कोई परिणाम नहीं मिला। भिन्न खोज शब्द आज़माएँ।,Walang nahanap. Sumubok ng ibang salita para sa paghahanap.
topPower,TOP300总战力,Top 300 Power,Top300總戰力,أعلى 300 قوة,Top 300 Energie,300 más poderosos,Top 300 (puissance),300 Power Teratas,Primi 300 per potere,総戦力TOP300,TOP300 총 전투력,Kuasa 300 Teratas,Top 300 wg siły,Top 300 de Poder,Топ-300 по мощи,300 พลังสูงสุด,İlk 300 Güç,Top 300 tổng sức mạnh,शीर्ष 300 पॉवर,Top 300 Power
loading,数据加载中,Loading data...,數據載入中,جار تحميل البيانات...,Lädt Daten …,Cargando datos...,Chargement des données...,Memuat data...,Caricamento dati...,データ読み込み中,데이터 로딩 중,Memuatkan data...,Wczytywanie danych…,Carregando dados...,Загрузка данных...,กำลังโหลดข้อมูล...,Veriler yükleniyor...,Đang tải dữ liệu…,डेटा लोड हो रहा है...,Naglo-load ang data..
kingdomDetailsPage,王国详情页,Kingdom Details,王國詳情頁,تفاصيل المملكة,Königreichdetails,Detalles del reino,Détails Royaume,Detail Kerajaan,Dettagli regno,王国詳細ページ,왕국 상세 페이지,Butiran Kerajaan,Szczegóły królestwa,Detalhes do Reino,Сведения о королевстве,รายละเอียดอาณาจักร,Krallık Detayları,Chi Tiết Vương Quốc,किंगडम विवरण,Mga Detalye ng Kingdom
kProgress,王国进度,Kingdom Progress,王國進度,تقدم المملكة,Königreichfortschritt,Progreso del reino,Progression Royaume,Progres Kerajaan,Progressi regno,王国進捗度,왕국 진행도,Kemajuan Kerajaan,Postępy królestwa,Progresso do Reino,Прогресс королевства,ความคืบหน้าของอาณาจักร,Krallık İlerlemesi,Tiến Độ Vương Quốc,किंगडम प्रगति,Progreso ng Kingdom
tk300Power,王国top300总战力,Top 300 Power,王國Top300總戰力,أعلى 300 قوة,Top 300 Energie,300 más poderosos,Top 300 (puissance),300 Power Teratas,Primi 300 per potere,王国総戦力TOP300,왕국 TOP300 총 전투력,Kuasa 300 Teratas,Top 300 wg siły,Top 300 de Poder,Топ-300 по мощи,300 พลังสูงสุด,İlk 300 Güç,Top 300 Tổng Sức Mạnh,शीर्ष 300 पॉवर,Top 300 Power
tk300pr,王国top300总战力排行,Top 300 Power Ranking,王國Top300總戰力排行榜,أعلى ترتيب 300 قوة,Rangliste „Top 300 Energie“,Clasificación de los 300 más poderosos,Classement Top 300 (puissance),Peringkat 300 Power Teratas,Classifica primi 300 per potere,王国総戦力ランキングTOP300,왕국 TOP300 총 전투력 랭킹,Kedudukan Kuasa 300 Teratas,Miejsce w rankingu 300 najsilniejszych,Ranking Top 300 de Poder,Топ-300 в рейтинге мощи,อันดับ 300 พลังสูงสุด,İlk 300 Güç Sıralaması,Top 300 Thứ Hạng Sức Mạnh,शीर्ष 300 पावर रैंकिंग,Top 300 Power Ranking
kOverview,王国综合数据,Kingdom Overview,王國綜合數據,حول المملكة,Königreichüberblick,Resumen del reino,Aperçu Royaume,Ringkasan Kerajaan,Panoramica regno,王国総合データ,왕국 종합 데이터,Gambaran Keseluruhan Kerajaan,Przegląd królestwa,Visão Geral do Reino,Обзор королевства,ภาพรวมอาณาจักร,Krallık Özeti,Tổng Quan Vương Quốc,किंगडम सिंहावलोकन,Kingdom Overview
viewOS,王国整体数据查看,View overall stats,王國整體數據查看,عرض شامل للإحصائيات,Gesamtstatistik ansehen,Ver estadísticas generales,Voir stats générales,Lihat statistik keseluruhan,Vedi statistiche generali,王国全体データ確認,왕국 종합 데이터 보기,Lihat statistik keseluruhan,Wyświetl ogólne statystyki,Ver estatísticas gerais,Показать общую статистику,ดูสถิติภาพรวม,İstatistik özetini görüntüle,Xem số liệu tổng thể vương quốc,समग्र आँकड़े देखें,Tingnan ang kabuuang stat
viewMD,王国成员详情数据,View member data,王國成員詳情數據,عرض بيانات العضو,Mitgliederdaten ansehen,Ver datos de miembro,Voir infos membre,Lihat data anggota,Vedi dati membri,王国メンバー詳細データ,왕국 멤버 상세 정보 데이터,Lihat data ahli,Wyświetl dane członków,Ver dados dos membros,Показать сведения об участниках,ดูข้อมูลสมาชิก,Üye verilerini görüntüle,Xem số liệu chi tiết thành viên,सदस्य डेटा देखें,Tingnan ang data ng miyembro
overallstats,王国整体数据,Overall Stats,王國整體數據,إحصائيات شاملة,Gesamtstatistik,Estadísticas generales,Stats générales,Statistik Keseluruhan,Statistiche generali,王国全体データ,왕국 전체 데이터,Statistik Keseluruhan,Ogólne statystyki,Estatísticas Gerais,Общая статистика,สถิติภาพรวม,İstatistik Özeti,Số Liệu Tổng Thể Vương Quốc,समग्र आँकड़े,Kabuuang Stat
searchK,查询王国,Search Kingdom,查詢王國,بحث عن مملكة,Königreich suchen,Buscar reino,Rechercher royaume,Cari Kerajaan,Cerca regno,王国検索,왕국 조회,Cari Kerajaan,Szukaj królestwa,Buscar Reino,Поиск королевства,ค้นหาอาณาจักร,Krallık Ara,Tìm Vương Quốc,किंगडम खोजें,Maghanap ng Kingdom
selectK,选择王国,Select Kingdom,選擇王國,اختيار مملكة,Königreich wählen,Seleccionar reino,Choisir royaume,Pilih Kerajaan,Seleziona regno,王国選択,왕국 선택,Pilih Kerajaan,Wybierz królestwo,Selecionar Reino,Выбрать королевство,เลือกอาณาจักร,Krallık Seç,Chọn vương quốc,किंगडम चुनें,Pumili ng Kingdom
dataUpdatedto ,数据更新至,Data updated to ,數據更新至,تم تحديث البيانات إلى ,Daten aktualisiert zu ,Datos actualizados a ,Mise à jour Données : ,Data diperbarui ke ,Dati aggiornati a ,直近のデータ更新,다음으로 데이터 업데이트하기,Data dikemas kini pada ,Dane obejmują okres do  ,Dados atualizados para ,Данные обновлены на ,อัปเดตข้อมูลเป็น ,Verilerin güncellenme zamanı ,Số liệu cập nhật đến ,डेटा इसमें अपडेट किया गया ,Na-update ang data sa 
KDO,单服总数据统计,Kingdom Data Overview,單伺服總數據統計,نظرة عامة على بيانات المملكة,Königreich-Datenüberblick,Resumen de datos del reino,Aperçu des données (royaume),Ringkasan Data Kerajaan,Panoramica dati regno,サーバーデータ統計,단일 서버 데이터 전체 통계,Ikhtisar Data Kerajaan,Przegląd danych królestwa,Visão Geral dos Dados do Reino,Обзор данных королевства,ภาพรวมข้อมูลอาณาจักร,Krallık Bilgisi Özeti,Tổng Quan Dữ Liệu Vương Quốc,किंगडम डेटा सिंहावलोकन,Kingdom Data Overview
t300Power,top300战力值,Top 300 Power,Top300戰力值,أعلى 300 قوة,Top 300 Energie,300 más poderosos,Top 300 (puissance),300 Power Teratas,Primi 300 per potere,戦力値TOP300,TOP300 전투력 수치,Kuasa 300 Teratas,Top 300 wg siły,Top 300 de Poder,Топ-300 по мощи,300 พลังสูงสุด,İlk 300 Güç,Top 300 Sức Mạnh,शीर्ष 300 पॉवर,Top 300 Power
t300Deaths,top300阵亡值,Top 300 Deaths,Top300陣亡值,أعلى 300 وفاة,Top 300 Tode,300 con más muertes,Top 300 (morts),300 Death Teratas,Primi 300 per morti,戦死値TOP300,TOP300 사망 수치,Kematian 300 Teratas,Top 300 wg poległych,Top 300 de Mortes,Топ-300 по смертям,300 การตายสูงสุด,İlk 300 Alt Etme,Top 300 Tử Vong,शीर्ष 300 मौतें,Top 300 Deaths
TP,总战力值,Total Power,總戰力值,إجمالي القوة,Energie gesamt,Poder total,Puissance totale,Total Power,Potere totale,総戦力値,총 전투력 ,Jumlah Kuasa,Suma siły,Poder Total,Суммарная мощь,พลังรวม,Toplam Güç,Tổng Sức Mạnh,कुल पॉवर,Kabuuang Power
TKP,总击杀分,Total Kill Points,總擊殺分,إجمالي نقاط القتل,Kill-Punkte gesamt,Total de puntos por bajas,Total (points d'élimination),Total Poin Kill,Punti uccisione totali,撃破ポイント合計,총 처치 포인트,Jumlah Mata Bunuhan,Suma punktów zabicia,Total de Pontos de Morte,Суммарные очки убийств,คะแนนฆ่ารวม,Toplam Alt Etme Puanı,Tổng Điểm Tiêu Diệt,कुल किल पॉइंट्स,Kabuuang Puntos ng Pagpaslang
TRG,总采集资源,Total Resources Gathered,總採集資源,تم جمع الموارد الإجمالي,Gesammelte Ressourcen gesamt,Total de recursos recolectados,Total (ressources collectées),Total Sumber Daya Terkumpul,Risorse raccolte totali,採集資源合計,총 채집 자원,Jumlah Sumber yang Dikumpulkan,Suma zebranych surowców,Total de Recursos Coletados,Суммарно собранные ресурсы,ทรัพยากรที่เก็บรวม,Toplam Toplanan Kaynak,Tổng Tài Nguyên Thu Thập,कुल संसाधन एकत्र हुए,Kabuuan ng Natipon na Resources
TD,总阵亡,Total Deaths,總陣亡,إجمالي الوفيات,Tode gesamt,Muertes totales,Total (morts),Total Death,Morti totali,戦死合計,총 사망,Jumlah Kematian,Suma poległych,Total de Mortes,Суммарно смертей,การตายรวม,Toplam Alt Etme,Tổng Tử Vong,कुल मौतें,Kabuuan na Napaslang
T5K,总T5击杀,T5 Kills,總T5擊殺,5 قتلى,K5-Kills,Bajas T5,Éliminations T5,T5 Kill,Uccisioni T5,T5撃破合計,총 T5 처치,Bunuhan T5,Zabite jedn. T5,Abates R5,Убийства T5,ฆ่า T5,T5 Alt Etme,Tổng Tiêu Diệt T5,T5 किल्स,T5 Kills
T4K,总T4击杀,T4 Kills,總T4擊殺,4 قتلى,K4-Kills,Bajas T4,Éliminations T4,T4 Kill,Uccisioni T4,T4撃破合計,총 T4 처치,Bunuhan T4,Zabite jedn. T4,Abates R4,Убийства T4,ฆ่า T4,T4 Alt Etme,Tổng Tiêu Diệt T4,T4 किल्स,T4 Kills
T3K,总T3击杀,T3 Kills,總T3擊殺,3 قتلى,K3-Kills,Bajas T3,Éliminations T3,T3 Kill,Uccisioni T3,T3撃破合計,총 T3 처치,Bunuhan T3,Zabite jedn. T3,Abates R3,Убийства T3,ฆ่า T3,T3 Alt Etme,Tổng Tiêu Diệt T3,T3 किल्स,T3 Kills
T2K,总T2击杀,T2 Kills,總T2擊殺,2 قتلى,K2-Kills,Bajas T2,Éliminations T2,T2 Kill,Uccisioni T2,T2撃破合計,총 T2 처치,Bunuhan T2,Zabite jedn. T2,Abates R2,Убийства T2,ฆ่า T2,T2 Alt Etme,Tổng Tiêu Diệt T2,T2 किल्स,T2 Kills
T1K,总T1击杀,T1 Kills,總T1擊殺,قتيل,K1-Kills,Bajas T1,Éliminations T1,T1 Kill,Uccisioni T1,T1撃破合計,총 T1 처치,Bunuhan T1,Zabite jedn. T1,Abates R1,Убийства T1,ฆ่า T1,T1 Alt Etme,Tổng Tiêu Diệt T1,T1 किल्स,T1 Kills
B,亿,B,億,ب,B,B,B,B,B,億,억,B,mld,bi,млрд,B,B,tỷ,B,B
M,万,M,萬,د,M,M,M,M,M,万,만,M,mln,mi,млн,M,M,triệu,M,M
KGD,王国成员详情,Kingdom Governor Data,王國成員詳情,بيانات حاكم المملكة,Königreich-Statthalterdaten,Datos de gobernadores del reino,Données de gouverneur (royaume),Data Gubernur Kerajaan,Dati governatori regno,王国メンバー詳細,왕국 멤버 상세 정보,Data Gabenor Kerajaan,Dane zarządców w królestwie,Dados de Governadores do Reino,Данные правителей королевства,ข้อมูลผู้ว่าการอาณาจักร,Krallık Valisi Bilgileri,Dữ Liệu Thống Đốc Vương Quốc,किंगडम गवर्नर डेटा,Kingdom Governor Data
username,角色昵称,Username,角色暱稱,اسم المستخدم,Benutzername,Nombre de usuario,Nom d'utilisateur,Nama Pengguna,Nome utente,キャラクターニックネーム,캐릭터 닉네임,Nama pengguna,Nazwa użytkownika,Nome de Usuário,Имя пользователя,ชื่อผู้ใช้,Kullanıcı Adı,Tên Người Dùng,उपयोगकर्ता नाम,Username
